Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
390	0	53.54124	50.32374	3.217499	0.00579857
391	1	53.68533	50.54172	3.143612	0.006243235
392	0	53.51229	50.40675	3.105536	0.006485538
393	1	53.4691	50.36973	3.099376	0.00652561
394	0	53.61055	50.48783	3.122718	0.006375052
395	1	53.4575	50.35968	3.097815	0.006535803
396	0	52.93151	49.88489	3.046626	0.006879075
397	1	53.46882	50.36948	3.099337	0.006525864
398	0	53.67414	50.48521	3.188936	0.005966582
399	1	53.37192	50.13259	3.239331	0.005673348
400	0	53.51268	50.2909	3.221784	0.005773776
401	1	53.61859	50.49415	3.124443	0.006364067
402	0	53.59283	50.47368	3.119146	0.006397869
403	1	52.00046	49.01217	2.988288	0.007292327
404	0	53.32753	50.24525	3.082281	0.006638127
405	1	52.25458	49.25232	3.002258	0.007191157
406	0	52.38655	49.07556	3.310989	0.005281034
407	1	53.20044	50.131	3.06944	0.006723916
408	0	53.6948	50.51442	3.180373	0.006017893
409	1	51.93474	48.6012	3.333543	0.005163254
410	0	53.71001	50.54465	3.165366	0.006108888
411	1	53.61383	50.49041	3.123412	0.006370632
412	0	53.02215	49.96834	3.053815	0.006829801
413	1	52.89122	49.61094	3.280276	0.005445743
414	0	52.37795	49.36849	3.009457	0.007139579
415	1	53.7079	50.54976	3.158137	0.00615321
416	0	52.72873	49.43769	3.291035	0.005387467
417	1	53.49112	50.26631	3.224814	0.005756308
418	0	53.61752	50.41375	3.203768	0.005878743
419	1	53.55692	50.44427	3.112643	0.006439608
420	0	53.70801	50.53781	3.170199	0.006079432
421	1	53.71005	50.545	3.165044	0.006110853
422	0	53.66495	50.47305	3.1919	0.005948927
423	1	53.40844	50.31687	3.091575	0.006576717
424	0	52.60692	49.30842	3.298502	0.005347388
425	1	53.40934	50.17424	3.235105	0.005697374
426	0	53.6167	50.49267	3.124031	0.006366687
427	1	53.37879	50.29075	3.088042	0.006599989
428	0	53.07503	50.01681	3.058221	0.006799776
429	1	52.89218	49.61197	3.280209	0.005446108
430	0	52.4975	49.48076	3.016741	0.007087761
431	1	53.06314	49.79554	3.267602	0.005515203
432	0	53.63248	50.43203	3.200454	0.005898254
433	1	53.6409	50.44245	3.198446	0.00591011
434	0	53.54612	50.43528	3.11084	0.006451231
435	1	53.70246	50.52682	3.175643	0.006046426
436	0	53.15792	50.09242	3.0655	0.00675046
437	1	53.50898	50.28666	3.222317	0.005770702
438	0	52.4842	49.46829	3.015914	0.007093623
439	1	53.449	50.3523	3.096694	0.006543136
440	0	52.94122	49.66448	3.276746	0.005465005
441	1	53.33776	50.09478	3.242983	0.005652666
442	0	53.6849	50.49997	3.184929	0.005990539
443	1	53.42287	50.32951	3.093355	0.00656502
444	0	53.55234	50.44047	3.111871	0.006444581
445	1	52.71867	49.68748	3.031183	0.006986133
446	0	53.11191	50.05051	3.061399	0.0067782
